Response ID,Contact ID,Text Block,1. Would you describe your current diet as healthy and balanced?,2. What is your ethnic group?,"3. How many hours do you spend on university-related work, separate from your Course Timetable, per week during exams?",How would you rate your family class? (Family earnings per year),5. How would you define your quality of life? (as defined by the World Health Organization),Text Block.1,6. How would you define your alcohol consumption?,7. Would you consider yourself an introvert or extrovert person? (Definitions from Oxford Languages),"8. In general, do you feel you experience stress while in the University? (tick all that apply)",9. Would you say that you are normally well hydrated?,10. How often do you exercise per week?,11. Do you have any known disabilities?,12. How many hours per week do you work?,13. What is your main financial support for your studies?,14. Are you in any form of employment?,15. Do you normally encounter financial issues paying your fees?,16. What Country are you from?,17. What is your year of birth?,18. What is your course of study?,Do you feel stressed before exams? (multiple choice),20. How often in the last week or two did you feel afraid that something awful might happen?,Do you prefer your timetable to be spread or compact so that you have less stress at university? (e.g. 1-2 busy days or 3-4 days with less lectures),22. What are the reasons for your timetable preference?,"23. Do you feel your timetabling structure has any impact on your study, life and health?","24. How many hours do you spend using technology devices per day (mobile, desktop, laptops, etc)?","25. How many hours do you spend using social media per day (Instagram, Tiktok, Twitter, etc)?",Text Block.2,26. What year of study are you in?,27. How important is having 'good mental health' to you?,28. Do you consider physical activity to be helpful to your mental health?,29. Do you enjoy activities centred around mindfulness?,30. Would you be interested in attending events themed around mental health?,"31. Do you enjoy non-competitive physical activity, such as walking, running, climbing, football with friends, etc?",32. Do you think mindfulness is a helpful tool for maintaining or improving your health?,33. Do you feel a sense of 'belonging' at Solent?,34. Improving/maintaining my mental health during my studies is:,35. Would you be interested in attending any of the following (tick all that apply_,Text Block.3,Confidentiality,Text Block.4,Labels,Response ID.1,Device,Captured By,Assigned User,Event Captured At,Event CRM Value,UTM Campaign,UTM Medium,UTM Source,UTM Content,UTM Term,Response Notes,Captured At,IP Address,Country Code,Country,Region Code,Region,City,Latitude,Longitude,User Type,Organisation,Internet Service Provider,Are you a home student or an international student?,"What are the approximate costs for your studies? (tuition fee per year of study, in pound £)"
108863,,,I think my diet is somewhat inbetween,Mixed/multiple ethnic groups,Hours per week: 24,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Somewhat in between,"Yes (due to employment-related issues), Yes (due to university work)",Yes,Days per week: 4,No,Hours per week: 16,Student loan,I am self-employed,Yes,United Kingdom,1995,BA (Hons) Prosthetics and Special Effects Design,"Yes (due to employment-related issues), Yes (due to university work)",Occasionally,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),"My first reason is beacause i do not live in Shouthampton, takes me so long to go to uni and to come back home.
Second is because you can not work as much as you like to have a good money to life without the stress of how much monay i am gonna have to be able to pay my bills and rent.
Third i found very absurd that some days you have two class with one or two hours between and that time is time that you lost waiting at the Uni.
And last reason is more easy and better to have more time to organized yourself as you want to study, work or do things to life normal (like cooking, cleaning, shooping, etc).","Yes, on my life, health and studies",Hours per week: 5,Hours per day: 2,,"Level 5 (second year, undergraduate)",It's very important,It helps a little,Occasionally I've enjoyed them,I don't have any feelings on it,I don't enjoy them,Sometimes it can be,I don't know yet,Somewhat up to me,"Arts and crafts sessions, Film nights (relevant films)",,,,,108863,,,,,,,,,,,,28/09/2022 16:33,92.28.161.104,GB,United Kingdom,KEN,Kent,Sittingbourne,51.3362,0.7705,residential,TalkTalk,TalkTalk,Home student,9250
108865,,,I think my diet is somewhat inbetween,Other ethnic group,Hours per week: 15,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Somewhat in between,Yes (due to university work),Yes,Days per week: 1,No,Hours per week: 1,Student loan,I am unemployed,No,United Kingdom,2000,BA (Hons) Prosthetics and Special Effects Design,Yes (due to university work),Very rarely,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),,"Yes, on my life, health and studies",Hours per week: 4,Hours per day: 2,,"Level 4 (first year, undergraduate)",It's very important,It helps a little,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,"Yes, absolutely",I don't know yet,Entirely up to me,"Mindful gardening, Journal making/writing, Arts and crafts sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), General volunteering (local refugee services, litter picking, etc), Film nights (relevant films), Supportive group study sessions",,,,,108865,,,,,,,,,,,,28/09/2022 16:34,109.175.143.69,GB,United Kingdom,STH,Southampton,Southampton,50.8976,-1.4004,residential,Cablecom Networking,Cablecom Networking,Home student,9250
108866,,,I think my diet is somewhat inbetween,White,Hours per week: 14,Middle class,High quality of life,,I don't drink alcohol,Somewhat in between,"Yes (due to employment-related issues), Yes (due to other circumstances, such as health, family issues, etc)",Yes,Days per week: 7,No,Hours per week: 10,Student loan,"Yes, I am part-time employed",Yes,United Kingdom,2001,BA (Hons) Musical Theatre,"Yes (due to employment-related issues), Yes (due to other circumstances such as health, family issues, etc), Yes (due to university work)",Frequently,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),I like to be in full days a few times a week rather than everyday with half classes because it means I can fit in more work shifts and earn more money. Also I travel an hour on the bus each day just to get to uni which can be quite tiring by the end of the week if I am in every day.,"Yes, on my life, health and studies",Hours per week: 12,Hours per day: 1,,"Level 6 (third year, undergraduate)",It's very important,Very much so,I enjoy them a lot,I'd be very interested in most activities to do with mental health,I really enjoy them,"Yes, absolutely",A little,Entirely up to me,"Guest speakers coming in and talking about their mental health journeys, Mental health first aid training, Social sports sessions aimed at mental health (mindful running/climbing, etc), Journal making/writing, Arts and crafts sessions, Student-led peer support sessions, Lectures on issues to do with mental health, Book club (relevant books), Supportive group study sessions",,,,,108866,,,,,,,,,,,,28/09/2022 16:44,82.19.209.30,GB,United Kingdom,HAM,Hampshire,Fareham,50.8161,-1.2341,residential,Virgin Media,Virgin Media,Home student,9250
108870,,,I think my diet is somewhat inbetween,White,Hours per week: 15,Lower class,Medium quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc)",No,Days per week: 7,No,Hours per week: 1,Student loan,I am unemployed,No,United Kingdom,2003,BA (Hons) Acting and Performance,"Yes (due to other circumstances such as health, family issues, etc), Yes (due to university work)",Occasionally,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),Means I can remember everything,"No, it has no impact on my studies, life or health",Hours per week: 30,Hours per day: 10,,"Level 4 (first year, undergraduate)",It's very important,Very much so,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I really enjoy them,Sometimes it can be,A little,Entirely up to me,"Guest speakers coming in and talking about their mental health journeys, Journal making/writing, Student-led peer support sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), Lectures on issues to do with mental health, Mental health resource making sessions (making crisis cards, etc), General volunteering (local refugee services, litter picking, etc), Film nights (relevant films), Book club (relevant books)",,,,,108870,,,,,,,,,,,,28/09/2022 16:54,82.132.234.24,GB,United Kingdom,HRT,Hertfordshire,Watford,51.6552,-0.3879,cellular,Telefonica O2 UK,Telefonica O2 UK,Home student,9250
108877,,,I think my diet is somewhat inbetween,White,Hours per week: 16,Lower class,Low quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",Yes,Days per week: 2,No,Hours per week: 1,Student loan,I am unemployed,No,United Kingdom,2001,BA (Hons) Interior Design Decoration,Yes (due to university work),Occasionally,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",I feel it's better to have it spread out so then you can have chance to complete the work instead of being overloaded with lots to do.,"Yes, on my studies",Hours per week: 10,Hours per day: 7,,"Level 4 (first year, undergraduate)",It's very important,It helps a little,I've never done any mindfulness activities,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,A little,Entirely up to me,"Mental health first aid training, Arts and crafts sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc)",,,,,108877,,,,,,,,,,,,28/09/2022 17:12,176.25.31.1,GB,United Kingdom,BCP,"Bournemouth, Christchurch and Poole Council",Christchurch,50.7469,-1.7544,residential,Sky Broadband,Sky Broadband,Home student,9250
108883,,,I think my diet is somewhat inbetween,White,Hours per week: 20,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Somewhat in between,"Yes (due to employment-related issues), Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",No,Days per week: 5,Yes,Hours per week: 3,Parent (family) support,"Yes, I am part-time employed",No,United Kingdom,2000,BA (Hons) Prosthetics and Special Effects Design,"Yes (due to employment-related issues), Yes (due to other circumstances such as health, family issues, etc), Yes (due to university work)",Very frequently,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),It allows me to plan easier and have more down time when I need it,"Yes, on my life, health and studies",Hours per week: 12,Hours per day: 4,,"Level 6 (third year, undergraduate)",It's very important,Very much so,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,I don't know how to answer this question,Somewhat up to me,"Mindful gardening, Mental health first aid training, Journal making/writing, Arts and crafts sessions, Student-led peer support sessions, Visits to local community activities (mindful pottery making and painting/talks on mental health, etc), Mental health resource making sessions (making crisis cards, etc), General volunteering (local refugee services, litter picking, etc), Film nights (relevant films)",,,,,108883,,,,,,,,,,,,28/09/2022 17:28,31.14.249.18,GB,United Kingdom,ENG,England,London,51.5269,-0.0991,residential,Hyperoptic Ltd,Hyperoptic Ltd,Home student,9250
108900,,,I think my diet is somewhat inbetween,Asian/Asian British,Hours per week: 12,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),Yes (due to university work),No,Days per week: 2,No,Hours per week: 1,Parent (family) support,I am unemployed,No,United Kingdom,2000,BA (Hons) Interior Design,Yes (due to university work),Rarely,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",,"Yes, on my life, health and studies",Hours per week: 12,Hours per day: 6,,"Level 5 (second year, undergraduate)",It's very important,It helps a little,Occasionally I've enjoyed them,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,A little,Somewhat up to me,"Mindful gardening, Arts and crafts sessions, Supportive group study sessions",,,,,108900,,,,,,,,,,,,28/09/2022 18:44,109.175.143.74,GB,United Kingdom,STH,Southampton,Southampton,50.911,-1.392,residential,Cablecom Networking Limited,Cablecom Networking Limited,Home student,9250
108911,,,I think my diet is somewhat inbetween,White,Hours per week: 20,Lower class,High quality of life,,My alcohol consumption is below moderate,Extrovert (a lively and confident person who enjoys being with other people),Yes (due to university work),Yes,Days per week: 2,Yes,Hours per week: 6,Student loan,I am unemployed,Yes,United Kingdom,2004,BA (Hons) Interior Design Decoration,Yes (due to university work),Very rarely,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),,"Yes, on my life, health and studies",Hours per week: 6,Hours per day: 4,,"Level 4 (first year, undergraduate)",It's very important,It helps a little,Occasionally I've enjoyed them,Not at all,I really enjoy them,Sometimes it can be,A little,Somewhat up to me,,,,,,108911,,,,,,,,,,,,28/09/2022 19:54,213.205.218.115,GB,United Kingdom,ENG,England,London,51.5329,-0.005,cellular,BT,EE,Home student,9250
108922,,,I think my diet is somewhat inbetween,White,Hours per week: 15,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Somewhat in between,"Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",Yes,Days per week: 4,No,Hours per week: 9,Student loan,I am unemployed,Yes,United Kingdom,2003,BA (Hons) Make-Up and Hair Design,Yes (due to university work),Frequently,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),I would prefer for my classes all to be together at once so I therefore have the other days to 'have to myself' to plan my independent study in a healthy way,"Yes, on my life, health and studies",Hours per week: 7,Hours per day: 4,,"Level 4 (first year, undergraduate)",It's very important,Very much so,Occasionally I've enjoyed them,I don't have any feelings on it,I enjoy them some of the time,"Yes, absolutely",A little,Entirely up to me,"Social sports sessions aimed at mental health (mindful running/climbing, etc), Journal making/writing, Film nights (relevant films), Book club (relevant books)",,,,,108922,,,,,,,,,,,,28/09/2022 20:30,5.151.135.33,GB,United Kingdom,EDH,Edinburgh,Edinburgh,55.9129,-3.1609,residential,Cablecom Networking,Cablecom Networking,Home student,9250
108942,,,I think my diet is somewhat inbetween,White,Hours per week: 15,Higher class,High quality of life,,My alcohol consumption is below moderate,Somewhat in between,"Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",Yes,Days per week: 1,No,Hours per week: 1,Student loan,I am unemployed,No,United Kingdom,2000,BA (Hons) Make-Up and Hair Design,"Yes (due to other circumstances such as health, family issues, etc), Yes (due to university work)",Occasionally,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)","In case I’m ill, which I am almost 24/7 when I’m in England. I can then spread out my energy.","Yes, on my life, health and studies",Hours per week: 8,Hours per day: 3,,"Level 6 (third year, undergraduate)",It's very important,It helps a little,I don't enjoy them,Not at all,I really enjoy them,I don't think it's useful at all,A little,Somewhat up to me,Film nights (relevant films),,,,,108942,,,,,,,,,,,,28/09/2022 21:36,77.18.55.190,NO,Norway,3,Oslo County,Oslo,59.955,10.859,cellular,Telenor Norge,Telenor Norge,Home student,9250
108948,,,I think my diet is somewhat inbetween,White,Hours per week: 14,Middle class,Medium quality of life,,My alcohol consumption is below moderate,Introvert (a quiet person who is more interested in their own thoughts and feelings than spending time with other people),"Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",Yes,Days per week: 2,No,Hours per week: 10,Student loan,I am unemployed,No,United Kingdom,2003,BA (Hons) Interior Design,"Yes (due to other circumstances such as health, family issues, etc), Yes (due to university work)",Very frequently,"I prefer my timetable to be spread with long gaps in between classes (eg, 1-2 modules per day, spread over 3 times per week)",,"No, it has no impact on my studies, life or health",Hours per week: 11,Hours per day: 4,,"Level 5 (second year, undergraduate)",It's very important,It helps a little,I've never done any mindfulness activities,"I'd be interested, but it would depend on what it was",I enjoy them some of the time,Sometimes it can be,A little,Somewhat up to me,"Mental health first aid training, Social sports sessions aimed at mental health (mindful running/climbing, etc), Lectures on issues to do with mental health, Film nights (relevant films), Supportive group study sessions",,,,,108948,,,,,,,,,,,,28/09/2022 21:52,5.151.135.37,GB,United Kingdom,EDH,Edinburgh,Edinburgh,55.9129,-3.1609,residential,Cablecom Networking,Cablecom Networking,Home student,9250
108965,,,I think my diet is somewhat inbetween,White,Hours per week: 11,Lower class,Medium quality of life,,My alcohol consumption is below moderate,Extrovert (a lively and confident person who enjoys being with other people),"Yes (due to employment-related issues), Yes (due to other circumstances, such as health, family issues, etc), Yes (due to university work)",Yes,Days per week: 3,No,Hours per week: 8,Student loan,"Yes, I am part-time employed",No,United Kingdom,2002,BA (Hons) Acting and Performance,Yes (due to university work),Occasionally,I prefer my timetable to be compact. (having all my classes in one day or two days in the week),"I would rather have the extra days free to focus on homework, reading, work, self-care, extra curricular activities. Having classes all compact keeps you more focused if doing a variety of classes I suppose, either way I don’t really mind but that’s probably better for outside balance.","Yes, on my life, health and studies",Hours per week: 11,Hours per day: 8,,"Level 5 (second year, undergraduate)",It's somewhat important,I don't really think about it,Occasionally I've enjoyed them,I don't have any feelings on it,I enjoy them some of the time,Sometimes it can be,A little,I don't know how to answer this question,"Journal making/writing, Arts and crafts sessions, Film nights (relevant films)",,,,,108965,,,,,,,,,,,,28/09/2022 23:54,82.132.234.154,GB,United Kingdom,MRT,Merton,Wimbledon,51.4333,-0.2167,cellular,Telefonica O2 UK,Telefonica O2 UK,Home student,9250
